,larva(0),larva(1),larva(2),larva(3),larva(4),larva(7),larva(9)
mom_x(150),649,193,681,872,111,439,896
mom_x(151),650,193,682,872,110,439,896
mom_x(152),651,194,683,872,110,439,896
mom_x(153),651,194,683,871,110,439,897
mom_x(154),652,194,683,871,110,439,896
mom_x(155),652,195,684,871,110,439,896
mom_x(156),652,195,684,871,109,439,896
mom_x(157),653,195,684,871,109,439,896
mom_x(158),653,195,685,870,110,439,896
mom_x(159),653,195,685,870,109,439,897
mom_x(160),654,196,685,870,109,439,898
mom_x(161),654,196,685,870,109,439,897
mom_x(162),654,196,686,870,109,439,897
mom_x(163),654,197,686,869,109,439,897
mom_x(164),654,197,686,869,109,439,897
mom_x(165),654,197,687,869,108,439,897
mom_x(166),654,198,687,868,108,438,897
mom_x(167),654,197,687,868,108,438,897
mom_x(168),654,197,687,868,108,438,898
mom_x(169),654,198,687,868,108,438,898
mom_x(170),655,198,687,868,108,438,898
mom_x(171),655,198,687,868,108,438,898
mom_x(172),655,198,687,868,107,438,898
mom_x(173),655,199,688,867,107,438,898
mom_x(174),655,199,688,866,107,437,898
mom_x(175),655,200,688,866,107,438,898
mom_x(176),656,200,688,866,107,438,899
mom_x(177),656,200,689,866,107,438,898
mom_x(178),656,200,689,866,107,438,898
mom_x(179),656,200,690,865,106,437,898
mom_x(180),657,201,691,864,107,437,900
mom_x(181),657,201,691,865,107,437,901
mom_x(182),657,201,692,864,107,437,901
mom_x(183),657,202,692,864,107,437,901
mom_x(184),657,203,692,864,107,437,901
mom_x(185),657,203,692,863,106,437,902
mom_x(186),657,203,692,863,106,437,901
mom_x(187),658,203,692,863,106,437,902
mom_x(188),658,203,692,863,106,437,902
mom_x(189),658,203,694,863,106,437,903
mom_x(190),658,203,694,863,106,438,903
mom_x(191),659,204,694,863,105,438,903
mom_x(192),659,204,695,864,105,437,902
mom_x(193),659,204,695,864,105,437,902
mom_x(194),659,204,695,865,106,438,902
mom_x(195),659,204,695,865,106,438,903
mom_x(196),660,205,695,865,105,438,904
mom_x(197),660,205,695,866,105,438,904
mom_x(198),660,206,693,866,105,438,905
mom_x(199),660,206,693,866,105,437,904
mom_x(200),660,207,692,867,105,437,905
mom_x(201),660,207,693,867,105,437,906
mom_x(202),660,207,693,867,105,437,906
mom_x(203),660,208,693,868,104,437,906
mom_x(204),660,208,692,868,104,437,906
mom_x(205),660,208,692,869,104,437,905
mom_x(206),660,208,691,869,104,437,905
mom_x(207),660,209,690,869,104,436,906
mom_x(208),660,209,690,870,104,437,906
mom_x(209),659,210,690,870,104,437,906
mom_x(210),659,209,689,871,104,438,907
mom_x(211),659,210,690,871,104,438,908
mom_x(212),659,210,690,871,103,438,907
mom_x(213),659,210,690,871,103,438,907
mom_x(214),660,211,691,872,104,438,907
mom_x(215),660,211,691,873,104,438,907
mom_x(216),659,212,691,873,104,439,908
mom_x(217),659,213,691,873,103,439,908
mom_x(218),658,214,691,873,103,439,909
mom_x(219),658,214,691,873,104,439,909
mom_x(220),658,214,692,873,104,439,909
mom_x(221),658,215,692,873,104,439,909
mom_x(222),658,215,692,873,103,439,908
mom_x(223),658,215,692,873,103,439,909
mom_x(224),657,215,691,874,103,439,909
mom_x(225),657,215,691,874,102,439,909
mom_x(226),657,215,691,874,102,439,909
mom_x(227),656,216,691,875,102,440,909
mom_x(228),656,217,689,875,102,440,910
mom_x(229),656,217,688,875,102,440,910
mom_x(230),656,218,687,875,102,440,910
mom_x(231),655,219,687,875,102,440,910
mom_x(232),655,219,686,875,102,441,911
mom_x(233),655,219,686,874,103,441,911
mom_x(234),655,220,686,875,103,441,912
mom_x(235),654,220,685,875,103,441,911
mom_x(236),654,220,685,875,103,441,911
mom_x(237),654,221,685,875,102,442,911
mom_x(238),654,221,685,875,102,442,911
mom_x(239),654,221,685,875,101,442,911
mom_x(240),654,222,685,875,101,441,912
mom_x(241),654,222,684,876,101,442,912
mom_x(242),654,222,684,876,101,442,913
mom_x(243),654,223,684,876,101,442,913
mom_x(244),654,224,684,875,101,442,913
mom_x(245),654,224,684,876,101,442,914
mom_x(246),654,225,684,876,101,442,914
mom_x(247),655,225,683,876,101,442,915
mom_x(248),655,225,683,877,101,442,914
mom_x(249),655,225,683,877,101,442,914
mom_x(250),654,225,683,877,101,442,914
mom_x(251),654,225,683,878,101,442,914
mom_x(252),654,225,683,878,100,441,914
mom_x(253),654,226,683,878,100,441,914
mom_x(254),653,226,683,878,100,441,915
mom_x(255),653,226,683,878,100,441,915
mom_x(256),653,226,683,879,100,441,915
mom_x(257),653,227,683,879,100,441,915
mom_x(258),653,227,683,879,100,441,915
mom_x(259),653,228,683,880,100,441,915
mom_x(260),653,229,683,880,100,441,915
mom_x(261),652,229,683,880,99,441,915
mom_x(262),652,228,683,881,99,441,915
mom_x(263),653,228,683,881,99,441,916
mom_x(264),653,229,683,881,99,441,916
mom_x(265),653,230,683,882,99,441,916
mom_x(266),653,229,683,882,99,441,916
mom_x(267),653,230,683,882,99,440,916
mom_x(268),653,230,683,882,98,440,916
mom_x(269),652,230,683,882,98,440,916
mom_x(270),652,230,683,882,98,441,916
mom_x(271),653,230,683,883,99,441,916
mom_x(272),652,230,683,883,99,439,916
mom_x(273),652,230,683,883,98,439,916
mom_x(274),652,230,682,883,98,439,916
mom_x(275),652,230,682,883,98,440,916
mom_x(276),652,230,682,883,98,440,916
mom_x(277),652,229,682,883,98,440,916
mom_x(278),652,229,682,883,97,440,916
mom_x(279),652,228,682,883,97,440,917
mom_x(280),652,228,682,884,97,440,917
mom_x(281),652,228,682,884,97,440,917
mom_x(282),652,228,683,884,97,439,918
mom_x(283),652,228,683,885,97,439,918
mom_x(284),652,227,683,885,97,439,917
mom_x(285),652,227,682,885,97,439,918
mom_x(286),653,226,683,885,97,440,918
mom_x(287),653,226,683,885,97,439,918
mom_x(288),653,226,683,885,97,439,917
mom_x(289),653,225,683,885,97,439,917
