,larva(0),larva(1),larva(3),larva(4),larva(6),larva(8),larva(9)
mom_x(0),1371,808,1043,1126,101,1176,786
mom_x(1),1372,809,1043,1126,101,1177,787
mom_x(2),1372,809,1044,1125,100,1177,788
mom_x(3),1371,809,1044,1125,100,1177,790
mom_x(4),1372,810,1044,1125,100,1177,790
mom_x(5),1372,810,1044,1125,100,1177,791
mom_x(6),1372,810,1045,1125,100,1177,791
mom_x(7),1372,810,1045,1126,100,1176,791
mom_x(8),1373,810,1045,1126,99,1176,791
mom_x(9),1374,810,1045,1126,99,1176,792
mom_x(10),1374,810,1045,1126,99,1176,792
mom_x(11),1374,811,1045,1126,98,1177,794
mom_x(12),1375,811,1045,1127,99,1177,795
mom_x(13),1375,812,1046,1127,99,1178,795
mom_x(14),1376,812,1046,1127,99,1178,796
mom_x(15),1377,812,1046,1127,99,1178,796
mom_x(16),1377,812,1046,1127,98,1178,796
mom_x(17),1378,813,1046,1128,99,1178,797
mom_x(18),1378,814,1046,1128,98,1178,797
mom_x(19),1378,814,1046,1128,98,1179,797
mom_x(20),1379,814,1047,1128,98,1179,797
mom_x(21),1380,815,1047,1128,98,1179,798
mom_x(22),1380,815,1047,1128,98,1179,799
mom_x(23),1380,814,1046,1129,98,1180,799
mom_x(24),1381,815,1047,1129,98,1180,800
mom_x(25),1381,815,1047,1130,98,1181,800
mom_x(26),1382,815,1047,1130,98,1181,801
mom_x(27),1383,816,1047,1130,98,1181,801
mom_x(28),1384,817,1047,1130,98,1181,801
mom_x(29),1384,816,1046,1130,97,1181,801
mom_x(30),1384,816,1046,1131,98,1181,801
mom_x(31),1385,816,1046,1131,98,1181,802
mom_x(32),1385,817,1046,1131,97,1182,803
mom_x(33),1385,817,1046,1131,97,1182,804
mom_x(34),1386,818,1047,1132,97,1182,804
mom_x(35),1386,818,1046,1131,97,1183,804
mom_x(36),1387,818,1047,1132,98,1183,805
mom_x(37),1387,819,1047,1132,98,1183,805
mom_x(38),1388,819,1047,1132,98,1183,805
mom_x(39),1389,819,1047,1132,98,1183,805
mom_x(40),1389,819,1047,1132,98,1183,805
mom_x(41),1390,819,1048,1131,98,1184,806
mom_x(42),1390,819,1048,1131,97,1184,806
mom_x(43),1391,819,1048,1131,98,1184,808
