,larva(0),larva(1),larva(3),larva(4),larva(6),larva(8),larva(9)
mom_x(44),1391,820,1047,1130,98,1185,808
mom_x(45),1392,821,1047,1130,98,1185,809
mom_x(46),1392,821,1047,1130,98,1186,809
mom_x(47),1392,821,1047,1130,98,1186,810
mom_x(48),1392,821,1047,1129,98,1186,810
mom_x(49),1393,821,1047,1129,98,1186,810
mom_x(50),1393,822,1047,1129,97,1186,810
mom_x(51),1394,822,1047,1129,97,1187,810
mom_x(52),1395,823,1047,1129,97,1187,810
mom_x(53),1395,823,1047,1129,97,1187,811
mom_x(54),1395,823,1047,1129,97,1187,812
mom_x(55),1395,823,1047,1129,97,1187,813
mom_x(56),1395,823,1047,1129,97,1188,814
mom_x(57),1395,824,1047,1129,97,1189,815
mom_x(58),1395,824,1047,1128,97,1189,815
mom_x(59),1395,825,1047,1128,97,1189,815
mom_x(60),1395,826,1047,1128,97,1189,815
mom_x(61),1395,826,1047,1128,97,1189,816
mom_x(62),1396,826,1047,1128,97,1189,816
mom_x(63),1397,826,1047,1128,97,1190,817
mom_x(64),1398,826,1046,1128,97,1190,819
mom_x(65),1399,826,1047,1128,97,1190,820
mom_x(66),1399,827,1047,1127,97,1190,821
mom_x(67),1399,828,1047,1127,97,1191,821
mom_x(68),1400,828,1047,1127,97,1192,822
mom_x(69),1400,828,1047,1127,98,1192,822
mom_x(70),1401,828,1047,1127,98,1192,822
mom_x(71),1402,829,1047,1126,97,1192,822
mom_x(72),1403,829,1047,1126,97,1193,822
mom_x(73),1403,830,1047,1126,98,1193,824
mom_x(74),1404,831,1047,1125,97,1193,825
mom_x(75),1405,831,1047,1125,97,1194,826
mom_x(76),1406,831,1046,1124,97,1194,827
mom_x(77),1406,832,1046,1124,97,1194,827
mom_x(78),1406,832,1046,1124,97,1194,828
mom_x(79),1407,833,1046,1124,96,1194,828
mom_x(80),1408,833,1046,1124,96,1195,828
mom_x(81),1408,834,1046,1124,95,1195,829
mom_x(82),1409,834,1047,1123,95,1196,829
mom_x(83),1410,834,1047,1123,95,1196,830
mom_x(84),1409,834,1046,1122,94,1196,831
mom_x(85),1410,835,1046,1122,93,1196,832
mom_x(86),1411,835,1046,1122,94,1196,833
mom_x(87),1411,836,1046,1122,93,1196,833
mom_x(88),1412,837,1046,1122,93,1196,834
mom_x(89),1414,836,1046,1121,92,1196,834
mom_x(90),1414,836,1046,1121,91,1196,834
mom_x(91),1415,837,1046,1121,91,1197,834
mom_x(92),1415,837,1046,1121,91,1197,835
mom_x(93),1415,838,1046,1120,90,1198,836
mom_x(94),1415,839,1046,1120,90,1198,837
mom_x(95),1416,839,1046,1120,89,1198,838
mom_x(96),1417,840,1046,1120,89,1198,838
mom_x(97),1418,839,1046,1120,88,1198,839
mom_x(98),1417,839,1047,1119,88,1198,839
mom_x(99),1418,840,1047,1119,87,1199,839
mom_x(100),1418,840,1047,1118,87,1199,840
mom_x(101),1418,840,1047,1118,87,1199,840
mom_x(102),1419,840,1047,1118,86,1199,841
mom_x(103),1420,841,1047,1118,85,1200,842
mom_x(104),1421,841,1047,1117,85,1200,842
mom_x(105),1420,842,1047,1117,84,1200,843
mom_x(106),1421,842,1047,1116,84,1200,844
mom_x(107),1421,842,1047,1116,83,1200,844
mom_x(108),1421,842,1047,1116,82,1200,844
mom_x(109),1421,843,1047,1116,82,1200,844
mom_x(110),1421,843,1047,1115,82,1201,844
mom_x(111),1422,843,1048,1115,82,1201,845
mom_x(112),1421,844,1048,1114,81,1201,846
mom_x(113),1421,844,1048,1114,80,1201,848
mom_x(114),1421,845,1048,1113,80,1201,848
mom_x(115),1421,845,1048,1113,79,1201,848
mom_x(116),1421,845,1048,1112,77,1202,848
mom_x(117),1421,846,1048,1112,76,1202,849
mom_x(118),1421,847,1048,1112,76,1203,848
mom_x(119),1421,848,1048,1112,75,1203,849
mom_x(120),1421,848,1048,1111,75,1203,850
mom_x(121),1421,849,1048,1111,74,1203,851
mom_x(122),1422,849,1048,1110,73,1203,852
mom_x(123),1422,849,1049,1109,72,1203,852
mom_x(124),1421,849,1049,1109,71,1204,853
mom_x(125),1421,849,1049,1109,71,1204,853
mom_x(126),1421,849,1049,1108,70,1205,854
mom_x(127),1421,849,1050,1108,70,1205,854
mom_x(128),1421,850,1050,1108,70,1205,854
mom_x(129),1421,850,1050,1107,70,1205,854
mom_x(130),1421,850,1050,1106,70,1205,855
mom_x(131),1421,851,1050,1106,68,1205,855
mom_x(132),1421,852,1050,1106,67,1206,856
mom_x(133),1421,852,1050,1106,66,1206,855
mom_x(134),1421,853,1050,1106,65,1206,856
mom_x(135),1421,853,1050,1107,64,1206,856
mom_x(136),1421,854,1050,1108,64,1206,856
mom_x(137),1422,853,1051,1108,64,1207,857
mom_x(138),1422,853,1051,1108,64,1207,857
mom_x(139),1422,854,1051,1109,63,1208,858
mom_x(140),1422,854,1051,1110,63,1207,858
mom_x(141),1421,854,1051,1110,62,1208,858
mom_x(142),1421,854,1051,1110,60,1208,859
mom_x(143),1422,854,1051,1111,59,1208,859
mom_x(144),1423,854,1051,1111,58,1208,860
mom_x(145),1422,855,1051,1111,58,1209,860
mom_x(146),1422,855,1051,1112,58,1209,860
mom_x(147),1422,856,1052,1112,57,1209,861
mom_x(148),1422,856,1051,1112,57,1210,861
mom_x(149),1422,857,1051,1112,56,1210,861
mom_x(150),1422,857,1051,1113,55,1210,861
mom_x(151),1422,857,1052,1113,55,1211,861
mom_x(152),1422,857,1052,1113,53,1210,862
mom_x(153),1423,857,1052,1114,52,1211,863
mom_x(154),1423,858,1053,1114,52,1211,863
mom_x(155),1423,859,1053,1114,51,1211,864
mom_x(156),1423,858,1053,1115,51,1211,864
mom_x(157),1424,859,1053,1115,51,1212,864
mom_x(158),1424,859,1054,1115,50,1212,863
mom_x(159),1424,858,1054,1115,50,1212,861
mom_x(160),1424,859,1054,1115,49,1213,860
mom_x(161),1424,859,1055,1116,49,1214,860
mom_x(162),1424,860,1055,1116,49,1214,862
mom_x(163),1424,860,1055,1117,47,1213,863
mom_x(164),1424,861,1056,1117,45,1214,863
mom_x(165),1424,861,1056,1118,45,1214,862
mom_x(166),1424,860,1056,1118,45,1214,863
mom_x(167),1425,861,1056,1118,44,1215,862
mom_x(168),1425,861,1056,1118,44,1215,863
mom_x(169),1425,862,1056,1118,43,1215,863
mom_x(170),1425,862,1056,1119,42,1215,863
mom_x(171),1425,862,1056,1119,41,1215,862
mom_x(172),1426,862,1057,1120,40,1216,861
mom_x(173),1426,862,1057,1120,39,1217,861
mom_x(174),1426,862,1057,1121,38,1217,860
mom_x(175),1426,862,1057,1121,38,1218,860
mom_x(176),1426,863,1057,1122,38,1218,860
mom_x(177),1426,864,1057,1122,37,1218,859
mom_x(178),1427,864,1057,1122,37,1218,859
mom_x(179),1427,864,1058,1122,37,1219,859
mom_x(180),1427,864,1058,1122,36,1219,859
mom_x(181),1427,865,1058,1122,35,1219,859
mom_x(182),1427,865,1058,1122,35,1220,858
mom_x(183),1428,864,1058,1123,35,1221,858
mom_x(184),1428,864,1059,1124,35,1221,858
mom_x(185),1428,865,1059,1124,35,1222,858
mom_x(186),1428,865,1059,1123,34,1221,856
mom_x(187),1429,865,1059,1123,34,1222,856
mom_x(188),1429,865,1059,1123,35,1222,856
mom_x(189),1429,866,1058,1123,35,1222,856
mom_x(190),1429,866,1059,1123,36,1223,856
mom_x(191),1429,866,1059,1124,37,1223,855
mom_x(192),1429,866,1059,1124,37,1223,855
mom_x(193),1430,867,1059,1124,37,1224,855
mom_x(194),1430,867,1059,1124,38,1225,855
mom_x(195),1430,867,1058,1124,39,1225,854
mom_x(196),1429,867,1058,1124,39,1226,854
mom_x(197),1430,867,1059,1125,40,1226,854
mom_x(198),1430,867,1060,1125,40,1226,854
mom_x(199),1430,868,1060,1125,40,1226,854
mom_x(200),1430,868,1060,1125,40,1227,854
mom_x(201),1430,868,1060,1125,40,1228,854
mom_x(202),1430,868,1060,1125,41,1228,854
mom_x(203),1430,868,1060,1126,41,1229,854
mom_x(204),1430,868,1060,1126,41,1230,854
mom_x(205),1430,868,1061,1126,41,1230,853
mom_x(206),1430,868,1061,1125,41,1231,853
mom_x(207),1430,868,1061,1125,42,1231,853
mom_x(208),1430,868,1060,1125,42,1231,853
mom_x(209),1430,869,1060,1126,42,1232,853
mom_x(210),1430,869,1060,1125,42,1232,853
mom_x(211),1430,869,1061,1126,42,1232,853
mom_x(212),1430,869,1061,1126,41,1233,853
mom_x(213),1430,869,1062,1126,41,1233,853
mom_x(214),1431,869,1063,1125,41,1234,852
mom_x(215),1431,868,1063,1125,41,1234,851
mom_x(216),1432,868,1063,1126,41,1235,851
mom_x(217),1432,868,1064,1125,41,1236,851
mom_x(218),1432,868,1063,1126,41,1236,851
mom_x(219),1432,868,1064,1126,41,1236,851
mom_x(220),1432,868,1064,1125,41,1236,851
mom_x(221),1432,868,1064,1125,41,1236,851
mom_x(222),1432,868,1064,1125,40,1236,851
mom_x(223),1432,868,1064,1125,40,1237,850
mom_x(224),1432,868,1064,1125,40,1237,849
mom_x(225),1432,868,1064,1125,40,1238,849
mom_x(226),1433,867,1064,1125,40,1237,849
mom_x(227),1433,866,1064,1125,40,1237,849
mom_x(228),1434,866,1064,1125,41,1237,849
mom_x(229),1434,866,1064,1125,41,1237,849
mom_x(230),1434,866,1064,1125,41,1237,849
mom_x(231),1434,866,1064,1125,40,1237,848
mom_x(232),1433,866,1064,1125,40,1237,847
mom_x(233),1434,865,1066,1125,40,1237,847
mom_x(234),1434,865,1066,1125,40,1237,847
mom_x(235),1434,865,1066,1124,40,1237,847
mom_x(236),1434,865,1065,1124,40,1238,847
mom_x(237),1434,865,1065,1124,40,1238,847
mom_x(238),1434,865,1065,1125,40,1239,847
mom_x(239),1434,865,1065,1124,40,1239,846
mom_x(240),1435,865,1065,1124,40,1239,845
mom_x(241),1435,865,1065,1124,40,1239,845
mom_x(242),1435,865,1066,1124,40,1239,845
mom_x(243),1435,865,1066,1123,40,1240,845
mom_x(244),1435,865,1066,1123,40,1240,844
mom_x(245),1435,865,1066,1123,40,1240,844
mom_x(246),1435,865,1066,1123,40,1241,844
mom_x(247),1435,865,1066,1123,40,1241,843
mom_x(248),1435,866,1067,1123,41,1241,842
mom_x(249),1435,866,1067,1123,41,1241,842
mom_x(250),1435,866,1067,1123,41,1243,842
mom_x(251),1435,866,1067,1122,41,1243,842
mom_x(252),1435,866,1068,1122,41,1244,842
mom_x(253),1435,866,1068,1122,41,1245,842
mom_x(254),1435,867,1068,1121,41,1245,841
mom_x(255),1435,867,1068,1121,41,1245,840
mom_x(256),1435,868,1068,1121,41,1245,839
mom_x(257),1435,868,1067,1120,41,1245,839
mom_x(258),1435,868,1067,1120,41,1246,839
mom_x(259),1435,868,1067,1120,41,1246,839
mom_x(260),1434,868,1066,1120,41,1247,839
mom_x(261),1434,868,1066,1119,41,1247,839
mom_x(262),1434,868,1065,1119,41,1248,838
mom_x(263),1434,868,1065,1118,42,1249,837
mom_x(264),1434,868,1064,1118,42,1249,836
mom_x(265),1434,868,1064,1118,42,1249,836
mom_x(266),1434,868,1063,1117,42,1250,836
mom_x(267),1434,868,1062,1117,42,1250,836
mom_x(268),1434,868,1062,1117,42,1251,835
mom_x(269),1434,868,1061,1117,42,1252,835
mom_x(270),1434,869,1061,1116,42,1252,835
mom_x(271),1434,869,1061,1116,42,1253,835
mom_x(272),1434,870,1059,1115,42,1254,834
mom_x(273),1434,870,1059,1115,42,1255,834
mom_x(274),1434,871,1059,1115,42,1255,833
mom_x(275),1434,871,1059,1114,42,1256,833
mom_x(276),1434,871,1058,1114,42,1256,833
mom_x(277),1434,870,1057,1113,42,1257,833
mom_x(278),1434,870,1056,1113,42,1257,833
mom_x(279),1434,870,1056,1113,42,1258,833
mom_x(280),1434,870,1057,1113,42,1258,832
mom_x(281),1434,870,1056,1112,42,1260,832
mom_x(282),1434,870,1056,1112,41,1261,831
mom_x(283),1433,870,1056,1112,41,1261,830
mom_x(284),1433,870,1056,1111,42,1261,830
mom_x(285),1433,871,1056,1110,42,1262,830
mom_x(286),1433,871,1055,1110,43,1262,830
mom_x(287),1434,871,1055,1110,43,1263,830
mom_x(288),1433,871,1055,1109,43,1263,830
mom_x(289),1433,872,1055,1109,44,1265,829
mom_x(290),1434,871,1054,1109,44,1265,829
mom_x(291),1433,871,1054,1108,45,1266,828
mom_x(292),1433,871,1054,1107,45,1267,828
mom_x(293),1433,871,1054,1106,45,1267,829
mom_x(294),1434,871,1054,1106,46,1267,829
mom_x(295),1434,872,1054,1105,46,1268,829
mom_x(296),1434,872,1053,1105,47,1268,828
mom_x(297),1434,872,1053,1105,48,1268,827
mom_x(298),1434,872,1052,1105,48,1268,827
mom_x(299),1434,872,1051,1104,48,1270,826
mom_x(300),1434,872,1051,1104,49,1270,826
mom_x(301),1434,873,1051,1104,49,1270,826
mom_x(302),1434,874,1051,1104,50,1270,826
mom_x(303),1434,875,1050,1104,50,1271,826
mom_x(304),1434,875,1050,1104,51,1271,826
mom_x(305),1434,875,1049,1104,51,1272,826
mom_x(306),1434,875,1048,1103,51,1273,826
mom_x(307),1434,874,1047,1103,51,1273,825
mom_x(308),1434,874,1047,1103,52,1273,825
mom_x(309),1434,874,1046,1103,52,1274,825
mom_x(310),1434,874,1045,1103,53,1274,825
mom_x(311),1434,874,1045,1103,54,1275,824
mom_x(312),1434,874,1045,1102,54,1275,824
mom_x(313),1434,874,1045,1102,55,1276,824
mom_x(314),1434,875,1044,1101,56,1277,824
mom_x(315),1434,875,1044,1101,56,1278,824
mom_x(316),1434,875,1043,1101,56,1279,824
mom_x(317),1434,876,1042,1100,57,1279,824
mom_x(318),1434,876,1041,1100,57,1279,824
mom_x(319),1434,876,1041,1098,58,1279,823
mom_x(320),1434,876,1041,1098,60,1280,823
mom_x(321),1434,875,1041,1097,61,1281,822
mom_x(322),1434,875,1040,1097,61,1282,822
mom_x(323),1434,875,1040,1096,62,1282,822
mom_x(324),1434,875,1038,1096,63,1283,821
mom_x(325),1434,876,1038,1096,63,1284,821
mom_x(326),1434,876,1038,1095,63,1285,821
mom_x(327),1434,876,1038,1095,63,1285,821
mom_x(328),1434,876,1037,1094,64,1285,821
mom_x(329),1434,877,1037,1093,66,1286,820
mom_x(330),1435,877,1036,1093,67,1287,820
mom_x(331),1435,877,1035,1093,68,1287,819
mom_x(332),1434,879,1034,1092,68,1288,819
mom_x(333),1434,879,1034,1091,68,1288,819
mom_x(334),1435,879,1033,1091,68,1288,819
mom_x(335),1434,878,1032,1091,69,1289,818
mom_x(336),1435,877,1033,1091,70,1291,818
mom_x(337),1435,877,1032,1090,70,1292,818
mom_x(338),1435,878,1033,1090,71,1292,818
mom_x(339),1435,878,1031,1089,73,1293,817
mom_x(340),1435,878,1030,1089,74,1293,817
mom_x(341),1435,878,1029,1089,74,1293,817
mom_x(342),1435,878,1028,1089,75,1294,817
mom_x(343),1435,878,1028,1089,75,1295,817
mom_x(344),1435,878,1027,1089,75,1295,816
mom_x(345),1435,878,1025,1088,77,1296,816
mom_x(346),1435,878,1025,1088,77,1296,816
mom_x(347),1435,878,1025,1087,77,1297,816
mom_x(348),1435,878,1025,1087,77,1298,816
mom_x(349),1435,879,1025,1087,77,1299,816
mom_x(350),1435,879,1024,1087,78,1299,815
mom_x(351),1435,879,1023,1087,80,1300,815
mom_x(352),1435,879,1022,1086,81,1300,814
mom_x(353),1435,879,1022,1085,81,1301,814
mom_x(354),1435,879,1022,1084,81,1302,814
mom_x(355),1435,879,1021,1084,82,1302,814
mom_x(356),1435,879,1021,1084,82,1302,814
mom_x(357),1435,880,1020,1084,83,1303,814
mom_x(358),1435,880,1019,1083,84,1304,814
mom_x(359),1435,880,1019,1082,85,1305,813
mom_x(360),1435,880,1020,1082,85,1306,813
mom_x(361),1435,882,1019,1081,86,1306,812
mom_x(362),1435,882,1018,1081,87,1306,812
mom_x(363),1435,882,1017,1081,88,1307,812
mom_x(364),1435,882,1016,1080,89,1307,812
mom_x(365),1435,882,1016,1079,89,1308,812
mom_x(366),1436,883,1016,1079,90,1308,812
mom_x(367),1436,882,1015,1078,91,1309,811
mom_x(368),1436,882,1014,1077,92,1310,810
mom_x(369),1436,882,1013,1076,93,1312,810
mom_x(370),1435,882,1014,1076,93,1312,809
mom_x(371),1436,882,1014,1076,94,1313,809
mom_x(372),1436,882,1014,1075,96,1313,809
mom_x(373),1436,882,1013,1075,96,1313,809
mom_x(374),1436,882,1013,1074,96,1314,809
mom_x(375),1436,883,1012,1072,97,1314,809
mom_x(376),1436,882,1011,1072,97,1315,809
mom_x(377),1436,882,1011,1071,99,1317,808
mom_x(378),1436,883,1011,1071,100,1317,808
mom_x(379),1436,883,1010,1070,101,1319,808
mom_x(380),1436,883,1009,1070,102,1320,807
mom_x(381),1436,883,1008,1069,102,1320,807
mom_x(382),1436,883,1008,1067,102,1321,806
mom_x(383),1436,883,1008,1065,102,1321,806
mom_x(384),1436,883,1008,1065,103,1321,806
mom_x(385),1436,883,1008,1065,104,1322,806
mom_x(386),1436,883,1007,1064,104,1323,806
mom_x(387),1436,883,1006,1064,105,1324,806
mom_x(388),1436,883,1006,1064,105,1324,806
mom_x(389),1435,883,1005,1063,106,1325,805
mom_x(390),1435,884,1003,1062,107,1326,805
mom_x(391),1435,884,1003,1061,107,1327,805
mom_x(392),1435,884,1003,1061,108,1328,805
mom_x(393),1435,885,1003,1060,108,1328,805
mom_x(394),1435,885,1003,1060,109,1329,805
mom_x(395),1435,885,1002,1059,110,1329,805
mom_x(396),1435,885,1001,1058,111,1330,805
mom_x(397),1435,885,1000,1058,112,1330,805
mom_x(398),1435,885,1000,1058,112,1330,805
mom_x(399),1435,885,1000,1058,112,1330,804
mom_x(400),1435,885,999,1057,112,1330,804
mom_x(401),1435,885,999,1056,112,1330,804
mom_x(402),1435,885,998,1056,113,1331,804
mom_x(403),1435,886,997,1056,114,1332,805
mom_x(404),1435,886,996,1056,114,1333,805
mom_x(405),1435,886,996,1056,114,1334,805
mom_x(406),1435,886,996,1055,115,1334,805
mom_x(407),1435,886,996,1055,115,1335,805
mom_x(408),1435,887,996,1055,115,1335,805
mom_x(409),1435,886,995,1055,117,1335,805
mom_x(410),1435,886,994,1054,119,1336,805
mom_x(411),1435,887,993,1054,119,1335,805
mom_x(412),1435,887,993,1053,120,1335,805
mom_x(413),1436,887,993,1053,120,1336,805
mom_x(414),1435,887,992,1053,120,1335,805
mom_x(415),1436,887,991,1053,121,1336,804
mom_x(416),1435,887,990,1053,121,1336,804
mom_x(417),1436,887,990,1052,122,1337,804
mom_x(418),1436,888,989,1051,123,1337,804
mom_x(419),1436,888,989,1050,124,1337,804
mom_x(420),1436,888,989,1049,126,1337,804
mom_x(421),1436,888,988,1048,126,1338,805
mom_x(422),1437,888,987,1048,126,1338,805
mom_x(423),1437,888,987,1048,126,1338,805
mom_x(424),1437,888,987,1047,126,1338,805
mom_x(425),1437,889,987,1047,127,1339,805
mom_x(426),1437,889,987,1046,128,1340,805
mom_x(427),1437,889,986,1044,129,1341,805
mom_x(428),1437,889,986,1044,131,1341,806
mom_x(429),1437,890,986,1043,132,1342,806
mom_x(430),1437,890,986,1042,132,1342,806
mom_x(431),1438,889,985,1041,132,1342,806
mom_x(432),1438,889,985,1041,132,1343,806
mom_x(433),1439,890,984,1041,133,1343,806
mom_x(434),1439,891,983,1040,133,1344,806
mom_x(435),1439,890,983,1039,134,1344,806
mom_x(436),1439,890,983,1038,134,1345,806
mom_x(437),1439,890,983,1037,134,1346,806
mom_x(438),1439,890,982,1036,136,1348,806
mom_x(439),1439,891,982,1035,135,1348,806
mom_x(440),1439,891,981,1035,133,1348,806
mom_x(441),1440,891,981,1035,132,1348,806
mom_x(442),1440,891,981,1034,131,1349,806
mom_x(443),1441,891,980,1033,131,1350,806
mom_x(444),1441,891,980,1032,130,1351,807
mom_x(445),1441,892,980,1030,130,1351,807
mom_x(446),1441,893,980,1029,129,1351,807
mom_x(447),1440,892,979,1028,129,1353,807
mom_x(448),1440,893,979,1028,129,1354,807
mom_x(449),1440,892,978,1028,129,1354,807
mom_x(450),1440,893,977,1027,129,1355,807
mom_x(451),1440,893,976,1026,129,1355,808
mom_x(452),1440,892,976,1025,130,1356,808
mom_x(453),1440,893,976,1024,130,1356,808
mom_x(454),1440,893,975,1023,130,1357,809
mom_x(455),1439,893,975,1022,130,1357,809
mom_x(456),1439,893,975,1021,130,1357,809
mom_x(457),1439,893,974,1021,131,1357,809
mom_x(458),1439,893,973,1020,131,1357,809
mom_x(459),1439,892,973,1019,131,1358,809
mom_x(460),1440,892,972,1017,131,1359,809
mom_x(461),1440,893,972,1016,131,1360,809
mom_x(462),1440,893,972,1015,131,1361,809
mom_x(463),1440,894,972,1015,131,1361,809
mom_x(464),1440,894,972,1014,131,1362,810
mom_x(465),1439,894,972,1013,132,1362,810
mom_x(466),1439,894,972,1013,132,1363,810
mom_x(467),1439,894,972,1011,132,1363,810
mom_x(468),1439,894,972,1011,132,1364,811
mom_x(469),1439,894,974,1010,132,1365,812
mom_x(470),1439,894,975,1009,132,1365,812
mom_x(471),1439,894,975,1008,132,1366,813
mom_x(472),1439,894,973,1007,132,1368,812
mom_x(473),1439,895,973,1007,132,1369,813
mom_x(474),1439,895,973,1006,132,1369,813
mom_x(475),1439,895,973,1005,132,1370,813
mom_x(476),1439,895,973,1004,132,1370,813
mom_x(477),1439,896,974,1003,131,1370,814
mom_x(478),1438,896,973,1002,130,1371,815
mom_x(479),1437,895,973,1001,130,1372,815
mom_x(480),1437,895,973,1000,131,1373,816
mom_x(481),1436,896,973,1000,131,1374,816
mom_x(482),1436,896,973,999,131,1375,816
mom_x(483),1436,895,973,998,130,1376,816
mom_x(484),1436,896,973,997,130,1376,816
mom_x(485),1436,896,972,996,130,1377,816
mom_x(486),1436,896,972,995,129,1377,817
mom_x(487),1436,896,971,994,129,1377,818
mom_x(488),1436,897,970,994,129,1379,818
mom_x(489),1436,897,969,993,129,1380,818
mom_x(490),1436,898,969,993,128,1381,819
mom_x(491),1436,897,969,991,128,1382,819
mom_x(492),1436,897,969,990,128,1383,819
mom_x(493),1435,897,969,988,128,1383,819
mom_x(494),1435,897,969,987,128,1384,819
mom_x(495),1435,897,969,987,127,1384,820
mom_x(496),1435,897,968,987,126,1384,820
mom_x(497),1435,898,968,986,126,1385,820
mom_x(498),1436,898,968,985,126,1386,820
mom_x(499),1436,898,968,984,125,1386,821
mom_x(500),1436,899,968,982,125,1387,821
mom_x(501),1435,898,967,980,125,1388,821
mom_x(502),1436,898,967,980,124,1389,822
mom_x(503),1435,898,966,979,123,1390,821
mom_x(504),1435,899,965,979,123,1390,823
mom_x(505),1435,899,964,977,122,1390,823
mom_x(506),1435,899,964,975,122,1391,824
mom_x(507),1435,899,964,974,122,1391,824
mom_x(508),1435,900,964,972,121,1393,824
mom_x(509),1435,900,964,972,121,1393,825
mom_x(510),1435,901,964,971,121,1394,825
mom_x(511),1435,900,964,971,120,1395,826
mom_x(512),1435,900,964,970,120,1396,826
mom_x(513),1435,900,964,969,119,1397,827
mom_x(514),1435,901,964,967,119,1397,828
mom_x(515),1435,900,963,965,119,1397,828
mom_x(516),1436,901,962,965,118,1397,829
mom_x(517),1438,900,961,965,117,1398,829
mom_x(518),1437,901,961,964,116,1399,829
mom_x(519),1436,901,961,963,116,1400,829
mom_x(520),1436,901,961,962,115,1400,829
mom_x(521),1435,902,961,960,114,1401,830
mom_x(522),1435,902,961,958,113,1402,831
mom_x(523),1435,902,961,957,113,1403,831
mom_x(524),1435,903,960,957,113,1403,832
mom_x(525),1435,902,960,957,112,1404,832
mom_x(526),1435,902,960,957,111,1404,832
mom_x(527),1435,902,960,956,110,1404,832
mom_x(528),1435,902,960,955,109,1405,832
mom_x(529),1436,903,960,954,108,1405,833
mom_x(530),1438,903,959,953,107,1406,833
mom_x(531),1437,902,958,951,107,1408,834
mom_x(532),1436,903,958,951,107,1409,835
mom_x(533),1436,903,958,951,106,1409,835
mom_x(534),1436,903,958,950,105,1410,835
mom_x(535),1436,902,958,950,104,1410,836
mom_x(536),1436,902,958,949,103,1410,835
mom_x(537),1436,903,958,949,102,1411,836
mom_x(538),1436,904,958,947,102,1412,836
mom_x(539),1437,904,957,947,101,1413,835
mom_x(540),1437,904,957,946,101,1414,835
mom_x(541),1437,904,957,945,101,1415,835
mom_x(542),1437,904,957,945,101,1416,835
mom_x(543),1436,905,956,944,100,1416,835
mom_x(544),1436,905,956,944,99,1416,834
mom_x(545),1436,905,956,943,98,1416,834
mom_x(546),1435,905,956,943,96,1417,834
mom_x(547),1435,905,956,943,96,1418,834
mom_x(548),1435,905,956,943,95,1418,834
mom_x(549),1435,905,955,943,95,1418,834
mom_x(550),1436,905,955,943,94,1420,835
mom_x(551),1436,905,955,943,94,1420,835
mom_x(552),1436,906,954,942,93,1421,834
mom_x(553),1436,906,954,943,92,1421,834
mom_x(554),1436,906,954,942,91,1422,833
mom_x(555),1435,906,954,942,90,1422,833
mom_x(556),1435,906,954,942,89,1422,833
mom_x(557),1435,906,953,941,88,1423,833
mom_x(558),1435,906,953,941,88,1423,833
mom_x(559),1434,907,953,940,88,1424,834
mom_x(560),1435,907,953,941,87,1424,834
mom_x(561),1435,908,953,941,86,1424,834
mom_x(562),1435,908,953,940,85,1424,833
mom_x(563),1435,908,953,939,84,1425,833
mom_x(564),1435,908,953,939,83,1426,832
mom_x(565),1435,908,953,939,82,1426,831
mom_x(566),1435,908,953,940,82,1427,831
