,larva(1),larva(4),larva(6)
perimeter(109),84.5685,88.669,97.6396
perimeter(110),84.5685,88.669,98.2254
perimeter(111),85.397,88.669,101.397
perimeter(112),86.2254,85.8406,100.225
perimeter(113),88.2254,86.0833,101.64
perimeter(114),87.9828,81.8406,101.397
perimeter(115),85.397,82.4264,100.811
perimeter(116),82.3259,81.8406,100.811
perimeter(117),77.4975,80.4264,103.64
perimeter(118),74.9117,81.2548,99.6396
perimeter(119),75.7401,86.9117,103.397
perimeter(120),77.1543,88.0833,101.397
perimeter(121),76.3259,91.4975,99.397
perimeter(122),77.7401,92.9117,98.8112
perimeter(123),78.9117,93.7401,98.468
perimeter(124),83.1543,89.1543,98.8112
perimeter(125),86.5685,86.9117,98.8112
perimeter(126),84.8112,84.9117,99.6396
perimeter(127),82.8112,83.8406,99.6396
perimeter(128),80.3259,83.8406,97.9828
perimeter(129),75.4975,83.2548,100.811
perimeter(130),77.4975,84.669,98.5685
perimeter(131),79.2548,89.2548,97.0538
perimeter(132),78.0833,91.4975,99.397
perimeter(133),77.2548,91.4975,99.397
perimeter(134),78.3259,92.0833,98.8112
perimeter(135),83.7401,94.9117,93.0538
perimeter(136),84.5685,92.669,94.3259
perimeter(137),87.1543,89.2548,93.0538
perimeter(138),87.1543,84.4264,93.9828
perimeter(139),82.3259,84.669,93.397
perimeter(140),78.3259,82.4264,92.8112
perimeter(141),75.7401,83.598,95.6396
perimeter(142),75.4975,83.598,93.6396
perimeter(143),76.3259,85.598,93.9828
perimeter(144),77.7401,89.598,94.8112
perimeter(145),83.1543,91.598,96.2254
perimeter(146),86.8112,92.4264,97.6396
perimeter(147),86.5685,91.0122,98.468
perimeter(148),84.5685,90.7696,97.8822
perimeter(149),84.669,90.1838,100.468
perimeter(150),81.2548,89.8406,96.2254
perimeter(151),79.2548,84.7696,97.6396
perimeter(152),81.4975,82.1838,94.8112
perimeter(153),81.2548,82.7696,94.5685
perimeter(154),81.2548,84.1838,95.1543
perimeter(155),80.669,81.9411,92.8112
perimeter(156),84.0833,83.598,93.8822
perimeter(157),89.1543,84.1838,95.397
perimeter(158),86.9117,88.4264,94.2254
perimeter(159),89.7401,89.0122,96.8112
perimeter(160),91.1543,89.598,98.8112
perimeter(161),89.1543,88.1838,97.6396
perimeter(162),82.5685,89.3553,100.811
perimeter(163),80.0833,91.0122,99.0538
perimeter(164),78.9117,88.1838,100.811
perimeter(165),79.2548,88.1838,100.225
perimeter(166),80.3259,84.7696,99.0538
perimeter(167),80.9117,83.598,97.6396
perimeter(168),83.4975,80.7696,94.8112
perimeter(169),85.7401,81.598,92.8112
perimeter(170),87.7401,82.1838,93.397
perimeter(171),87.1543,82.1838,93.1543
perimeter(172),84.9117,86.4264,94.5685
perimeter(173),80.669,87.598,93.9828
perimeter(174),78.9117,91.7401,94.5685
perimeter(175),82.3259,89.0122,95.397
perimeter(176),82.9117,91.8406,98.5685
perimeter(177),80.3259,89.8406,95.9828
perimeter(178),84.9117,86.4264,98.8112
perimeter(179),84.8112,88.669,98.5685
perimeter(180),83.1543,81.598,100.468
perimeter(181),83.1543,80.1838,98.5685
perimeter(182),80.9117,80.1838,94.8112
perimeter(183),78.669,80.4264,92.5685
perimeter(184),79.7401,81.8406,91.1543
perimeter(185),81.1543,83.8406,93.397
perimeter(186),78.3259,85.8406,94.2254
perimeter(187),80.5685,89.4975,96.2254
perimeter(188),83.7401,88.0833,95.397
perimeter(189),82.5685,87.0122,94.2254
perimeter(190),82.3259,83.8406,99.0538
perimeter(191),82.3259,82.4264,99.0538
perimeter(192),76.0833,81.8406,101.054
perimeter(193),76.0833,81.8406,98.8112
perimeter(194),75.4975,83.8406,99.397
perimeter(195),76.9117,89.7401,100.225
perimeter(196),77.4975,90.3259,100.225
perimeter(197),80.4264,88.9117,102.125
perimeter(198),80.669,90.3259,100.468
perimeter(199),84.0833,89.7401,98.5685
perimeter(200),85.1543,84.3259,94.8112
perimeter(201),82.669,81.4975,95.397
perimeter(202),78.0833,82.9117,95.9828
perimeter(203),79.7401,82.3259,96.5685
perimeter(204),80.0833,82.9117,96.8112
perimeter(205),79.2548,84.0833,94.8112
perimeter(206),80.3259,89.1543,95.397
perimeter(207),84.0833,92.5685,97.0538
perimeter(208),83.7401,91.7401,100.811
perimeter(209),84.3259,88.9117,99.0538
perimeter(210),81.4975,88.3259,97.8822
perimeter(211),76.669,83.8406,101.882
perimeter(212),76.9117,83.4975,99.8822
perimeter(213),77.4975,81.4975,101.054
perimeter(214),76.669,84.9117,100.125
perimeter(215),76.0833,83.2548,100.468
perimeter(216),78.0833,86.0833,97.0538
perimeter(217),76.0833,87.7401,95.9828
perimeter(218),78.9117,88.3259,95.9828
perimeter(219),78.0833,86.0833,94.8112
perimeter(220),77.2548,88.3259,96.8112
perimeter(221),77.4975,81.2548,94.8112
perimeter(222),78.0833,80.4264,94.8112
perimeter(223),76.669,83.4975,95.397
perimeter(224),76.0833,83.4975,98.468
perimeter(225),77.4975,82.4264,98.468
perimeter(226),78.9117,86.0833,100.711
perimeter(227),79.7401,89.2548,100.711
perimeter(228),81.1543,88.0833,98.468
perimeter(229),78.3259,88.0833,103.054
perimeter(230),77.4975,87.2548,97.6396
perimeter(231),76.669,84.4264,93.1543
perimeter(232),76.0833,81.2548,94.5685
perimeter(233),74.669,80.669,93.9828
perimeter(234),76.9117,81.2548,95.6396
perimeter(235),76.0833,81.8406,94.8112
perimeter(236),78.669,84.9117,92.5685
perimeter(237),79.7401,87.4975,92.2254
perimeter(238),82.3259,90.3259,96.468
perimeter(239),83.1543,92.5685,101.296
perimeter(240),84.5685,94.5685,101.054
perimeter(241),83.7401,92.9117,101.054
perimeter(242),81.7401,91.7401,101.054
perimeter(243),82.3259,86.9117,101.054
perimeter(244),78.669,82.669,100.711
perimeter(245),76.669,82.0833,95.6396
perimeter(246),75.8406,82.669,94.5685
perimeter(247),76.4264,83.2548,94.2254
perimeter(248),78.0833,82.669,97.0538
perimeter(249),79.8406,84.669,93.9828
perimeter(250),78.9117,87.4975,93.0538
perimeter(251),80.0833,91.397,95.397
perimeter(252),83.7401,89.4975,98.8112
perimeter(253),82.669,89.4975,99.0538
perimeter(254),82.9117,82.669,99.6396
perimeter(255),84.9117,79.8406,98.2254
perimeter(256),82.9117,80.669,97.0538
perimeter(257),79.4975,80.669,98.2254
perimeter(258),76.669,82.0833,99.6396
perimeter(259),75.8406,83.8406,99.0538
perimeter(260),76.669,86.9117,99.8822
perimeter(261),76.9117,91.7401,99.6396
perimeter(262),76.0833,90.3259,99.0538
perimeter(263),77.7401,84.3259,98.8112
perimeter(264),80.5685,84.9117,101.054
perimeter(265),83.7401,82.9117,104.125
perimeter(266),83.9828,83.4975,97.6396
perimeter(267),82.5685,81.2548,101.882
perimeter(268),81.397,82.669,99.2965
perimeter(269),79.4975,86.3259,98.7107
perimeter(270),76.3259,87.4975,97.2965
perimeter(271),77.4975,90.9117,96.2254
perimeter(272),77.1543,86.669,100.468
perimeter(273),77.7401,87.2548,98.2254
perimeter(274),76.5685,83.0122,100.468
perimeter(275),78.3259,82.4264,103.054
perimeter(276),81.9828,82.669,102.468
perimeter(277),83.397,84.669,100.811
perimeter(278),83.397,87.4975,101.983
perimeter(279),85.397,90.5685,104.225
perimeter(280),84.8112,89.7401,105.397
perimeter(281),80.5685,89.7401,103.983
perimeter(282),79.7401,91.7401,101.983
perimeter(283),79.4975,86.3259,102.811
perimeter(284),76.3259,83.4975,103.154
perimeter(285),76.9117,82.0833,103.154
perimeter(286),77.4975,83.7401,101.983
perimeter(287),77.1543,82.9117,102.083
perimeter(288),79.7401,84.669,103.397
perimeter(289),82.9117,87.1543,100.669
perimeter(290),84.5685,89.4975,99.8406
perimeter(291),82.5685,89.9828,100.326
perimeter(292),82.5685,90.5685,95.8406
perimeter(293),79.1543,86.3259,95.8406
perimeter(294),74.9117,80.9117,91.8406
perimeter(295),75.4975,79.4975,95.4975
perimeter(296),77.4975,81.4975,94.669
perimeter(297),76.9117,81.7401,93.4975
perimeter(298),76.9117,85.1543,93.2548
perimeter(299),76.9117,86.3259,93.2548
perimeter(300),81.7401,89.9828,96.9117
perimeter(301),81.1543,85.7401,99.2548
perimeter(302),82.5685,84.3259,100.912
perimeter(303),82.9117,84.9117,98.669
perimeter(304),82.3259,83.2548,98.669
perimeter(305),81.9828,83.4975,97.0122
perimeter(306),76.9117,83.7401,98.669
perimeter(307),74.0833,84.9117,93.598
perimeter(308),73.4975,86.3259,93.8406
perimeter(309),75.4975,88.5685,94.4264
perimeter(310),76.0833,89.397,95.0122
perimeter(311),78.3259,83.7401,92.5269
perimeter(312),76.3259,82.3259,93.598
perimeter(313),78.9117,82.0833,93.3553
perimeter(314),82.5685,80.3259,94.1838
perimeter(315),83.397,81.1543,97.0122
perimeter(316),83.397,81.7401,98.1838
perimeter(317),83.9828,86.669,97.3553
perimeter(318),82.5685,85.7401,102.083
perimeter(319),80.0833,87.9828,99.3553
perimeter(320),79.4975,82.5685,99.9411
perimeter(321),76.9117,82.3259,97.9411
perimeter(322),78.3259,82.3259,97.8406
perimeter(323),76.9117,81.397,94.669
perimeter(324),77.4975,82.5685,91.598
perimeter(325),79.1543,81.9828,91.9411
perimeter(326),78.3259,84.5685,92.7696
perimeter(327),83.1543,86.3259,94.1838
perimeter(328),82.9117,85.9828,93.3553
perimeter(329),82.5685,86.5685,94.1838
perimeter(330),84.5685,84.3259,95.3553
perimeter(331),83.7401,80.3259,101.841
perimeter(332),83.9828,81.2548,107.154
perimeter(333),85.7401,82.0833,103.841
perimeter(334),85.9828,82.9117,104.426
perimeter(335),87.7401,87.1543,105.255
perimeter(336),85.397,88.8112,104.912
perimeter(337),83.1543,89.397,101.355
perimeter(338),81.7401,89.397,96.5269
perimeter(339),81.1543,89.1543,94.1838
perimeter(340),80.3259,85.1543,94.7696
perimeter(341),81.7401,83.4975,93.6985
perimeter(342),81.1543,82.0833,96.1838
perimeter(343),83.1543,85.4975,94.5269
perimeter(344),82.9117,86.3259,96.5269
perimeter(345),83.7401,88.3259,99.598
perimeter(346),85.7401,89.9828,103.598
perimeter(347),84.9117,89.1543,104.527
perimeter(348),86.9117,88.0833,103.355
perimeter(349),86.3259,85.1543,103.012
perimeter(350),86.3259,81.4975,108.426
perimeter(351),87.7401,80.5685,105.012
perimeter(352),87.7401,80.3259,105.598
perimeter(353),87.1543,80.9117,110.326
perimeter(354),87.397,82.8112,108.669
perimeter(355),88.5685,86.3259,107.012
perimeter(356),87.7401,86.5685,107.497
perimeter(357),89.397,85.7401,106.426
perimeter(358),86.5685,89.9828,105.598
perimeter(359),85.397,84.3259,100.426
perimeter(360),87.397,81.7401,97.8406
perimeter(361),86.5685,79.4975,95.0122
perimeter(362),83.1543,80.3259,97.2548
perimeter(363),86.8112,79.4975,97.598
perimeter(364),85.397,80.3259,98.669
perimeter(365),86.5685,85.7401,99.3553
perimeter(366),87.397,87.9828,98.7696
perimeter(367),89.1543,87.9828,105.841
perimeter(368),89.397,89.397,108.669
perimeter(369),86.5685,87.1543,107.012
perimeter(370),86.8112,81.7401,103.598
perimeter(371),87.397,79.4975,106.912
perimeter(372),85.397,78.9117,103.012
perimeter(373),84.3259,79.4975,103.841
perimeter(374),82.0833,80.3259,103.841
perimeter(375),78.9117,81.7401,104.426
perimeter(376),78.9117,87.1543,102.426
perimeter(377),78.9117,92.8112,105.497
perimeter(378),78.0833,90.8112,101.598
perimeter(379),80.3259,90.5685,97.598
perimeter(380),80.669,91.397,95.8406
perimeter(381),83.7401,86.3259,92.7696
perimeter(382),83.9828,82.3259,96.4264
perimeter(383),81.1543,82.5685,95.3553
perimeter(384),78.9117,83.7401,96.1838
perimeter(385),76.0833,83.1543,95.0122
perimeter(386),75.4975,85.397,98.669
perimeter(387),75.4975,87.1543,102.083
perimeter(388),76.669,85.397,98.9117
perimeter(389),76.0833,87.397,99.2548
perimeter(390),76.0833,87.397,101.154
perimeter(391),80.0833,84.5685,99.8406
perimeter(392),80.9117,80.9117,99.2548
perimeter(393),82.3259,84.3259,99.4975
perimeter(394),83.4975,82.9117,97.8406
perimeter(395),81.4975,84.9117,100.912
perimeter(396),78.669,87.4975,100.083
perimeter(397),77.4975,83.2548,100.912
perimeter(398),77.4975,85.2548,98.9117
perimeter(399),76.669,87.4975,103.154
perimeter(400),78.3259,85.2548,102.569
perimeter(401),79.7401,90.9117,102.083
perimeter(402),85.9828,91.7401,102.912
perimeter(403),82.0833,88.4264,101.983
perimeter(404),79.4975,87.8406,99.1543
perimeter(405),76.9117,82.7696,97.7401
perimeter(406),76.9117,79.9411,97.1543
perimeter(407),78.9117,78.2843,96.669
perimeter(408),76.9117,80.5269,96.3259
perimeter(409),77.4975,81.1127,94.669
perimeter(410),78.9117,85.3553,97.4975
perimeter(411),81.1543,85.9411,96.0833
perimeter(412),81.9828,88.5269,98.0833
perimeter(413),81.1543,90.5269,100.326
perimeter(414),83.397,84.7696,98.669
perimeter(415),83.1543,83.3553,102.083
perimeter(416),78.9117,81.1127,102.912
perimeter(417),78.9117,81.1127,101.397
perimeter(418),76.669,81.1127,94.4264
perimeter(419),76.9117,81.6985,93.8406
perimeter(420),76.0833,83.1127,95.2548
perimeter(421),76.0833,86.7696,94.0833
perimeter(422),76.3259,88.1838,94.4264
perimeter(423),82.5685,88.1838,93.8406
perimeter(424),82.5685,87.598,98.0833
perimeter(425),82.5685,85.2548,96.669
perimeter(426),82.9117,83.3553,97.2548
perimeter(427),79.7401,81.3553,100.669
perimeter(428),76.9117,81.598,99.4975
perimeter(429),77.4975,82.1838,100.669
perimeter(430),75.4975,85.598,101.497
perimeter(431),76.0833,87.8406,100.426
perimeter(432),77.1543,87.598,97.4975
perimeter(433),81.1543,89.0122,90.7696
perimeter(434),85.1543,87.0122,93.3553
perimeter(435),83.9828,81.9411,93.2548
perimeter(436),83.9828,79.9411,93.598
perimeter(437),84.5685,82.1838,95.598
perimeter(438),79.7401,81.9411,94.4264
perimeter(439),77.1543,83.9411,96.1838
perimeter(440),77.1543,85.3553,98.669
perimeter(441),77.9828,88.1838,100.426
perimeter(442),76.9117,89.0122,103.497
perimeter(443),78.669,87.9411,101.012
perimeter(444),80.3259,85.1127,102.083
perimeter(445),81.397,83.598,101.841
perimeter(446),82.5685,83.3553,96.4264
perimeter(447),87.0538,79.6985,90.7696
perimeter(448),82.5685,83.0122,91.9411
perimeter(449),78.669,83.1127,93.0122
perimeter(450),76.9117,83.9411,95.2548
perimeter(451),76.9117,90.1838,96.669
perimeter(452),76.9117,87.6985,95.0122
perimeter(453),76.669,86.5269,95.3553
perimeter(454),75.2548,85.3553,98.1838
perimeter(455),79.7401,82.5269,102.669
perimeter(456),81.1543,82.1838,101.497
perimeter(457),83.4975,80.5269,102.326
perimeter(458),85.9828,79.1127,101.598
perimeter(459),84.3259,80.8701,102.669
perimeter(460),82.3259,85.3553,100.669
perimeter(461),82.9117,89.3553,94.7696
perimeter(462),80.669,90.7696,96.0833
perimeter(463),78.9117,87.1127,93.598
perimeter(464),75.4975,84.5269,96.1838
perimeter(465),77.2548,84.1838,94.1838
perimeter(466),78.0833,81.9411,96.669
perimeter(467),78.0833,80.5269,93.0122
perimeter(468),77.2548,81.9411,97.598
perimeter(469),78.4264,82.2843,96.1838
perimeter(470),82.9117,86.7696,101.598
perimeter(471),82.669,87.6985,99.8406
perimeter(472),82.669,89.3553,102.083
perimeter(473),82.669,89.598,100.912
perimeter(474),79.2548,83.3553,100.912
perimeter(475),77.2548,79.6985,95.8406
perimeter(476),76.4264,80.7696,92.669
perimeter(477),77.8406,81.598,94.0833
perimeter(478),75.8406,82.5269,92.669
perimeter(479),77.0122,82.2843,93.0122
perimeter(480),82.669,88.7696,94.1838
perimeter(481),83.8406,88.7696,92.1838
perimeter(482),84.0833,87.1127,94.7696
perimeter(483),85.8406,87.6985,98.4264
perimeter(484),81.8406,82.8701,97.3553
perimeter(485),80.0833,81.1127,100.184
perimeter(486),77.0122,82.7696,102.083
perimeter(487),77.0122,80.5269,100.426
perimeter(488),77.598,81.1127,101.255
perimeter(489),78.1838,83.6985,98.1838
perimeter(490),79.8406,87.3553,94.1838
perimeter(491),78.7696,87.9411,93.0122
perimeter(492),83.598,86.2843,93.0122
perimeter(493),83.8406,82.8701,90.5269
perimeter(494),86.669,82.2843,93.3553
perimeter(495),86.1838,78.8701,94.7696
perimeter(496),85.0122,79.1127,93.1127
perimeter(497),85.598,79.6985,94.5269
perimeter(498),85.598,81.1127,101.113
perimeter(499),85.0122,83.1127,101.355
perimeter(500),85.0122,85.9411,103.255
perimeter(501),82.4264,88.1838,104.184
perimeter(502),77.9411,85.1127,103.355
perimeter(503),79.8406,83.9411,103.598
perimeter(504),76.1838,80.2843,101.698
perimeter(505),76.2843,79.6985,104.77
perimeter(506),76.2843,80.5269,103.941
perimeter(507),81.1127,80.2843,104.77
perimeter(508),83.1127,82.2843,107.598
perimeter(509),83.9411,87.3553,107.841
perimeter(510),84.7696,89.9411,106.426
perimeter(511),85.6985,87.6985,111.154
perimeter(512),83.9411,88.7696,104.669
perimeter(513),79.9411,85.9411,100.083
perimeter(514),79.1127,82.5269,95.0122
perimeter(515),78.1838,81.6985,93.3553
perimeter(516),75.6985,80.8701,92.2843
perimeter(517),77.3553,81.4558,97.0122
perimeter(518),77.6985,86.5269,95.598
perimeter(519),80.7696,83.6985,95.8406
perimeter(520),82.2843,90.7696,96.4264
perimeter(521),84.2843,88.7696,97.598
perimeter(522),82.2843,84.8701,99.2548
perimeter(523),83.1127,82.5269,100.669
perimeter(524),81.1127,80.0416,97.8406
perimeter(525),78.7696,81.3553,97.2548
perimeter(526),79.598,82.2843,105.154
perimeter(527),77.9411,85.6985,99.4975
perimeter(528),77.1127,83.9411,96.4264
perimeter(529),77.1127,88.5269,100.912
perimeter(530),77.9411,85.1127,99.4975
perimeter(531),81.1127,83.6985,100.326
perimeter(532),83.3553,83.3553,96.669
perimeter(533),81.6985,82.5269,94.4264
perimeter(534),86.5269,81.9411,94.0833
perimeter(535),85.6985,87.0122,93.4975
perimeter(536),83.9411,85.6985,93.2548
perimeter(537),83.9411,89.6985,93.8406
perimeter(538),80.7696,91.0122,93.598
perimeter(539),79.3553,85.9411,92.669
perimeter(540),76.5269,83.6985,93.0122
perimeter(541),75.9411,81.4558,93.8406
perimeter(542),77.598,82.2843,95.4975
perimeter(543),78.7696,81.6985,101.74
perimeter(544),81.3553,83.9411,96.669
perimeter(545),85.0122,85.9411,98.9117
perimeter(546),85.598,89.6985,101.397
perimeter(547),86.1838,88.8701,99.1543
perimeter(548),85.9411,89.1127,95.8406
perimeter(549),80.7696,91.1127,92.9117
perimeter(550),79.9411,86.8701,92.4264
perimeter(551),78.1838,85.3553,93.8406
perimeter(552),80.7696,83.1127,95.2548
perimeter(553),80.7696,83.1127,94.0833
perimeter(554),78.7696,82.5269,92.4264
perimeter(555),77.1127,83.6985,94.0833
perimeter(556),81.3553,85.9411,95.0122
perimeter(557),82.1838,85.1127,95.0122
perimeter(558),85.0122,90.1838,96.4264
perimeter(559),82.1838,90.7696,97.4975
perimeter(560),77.3553,91.3553,96.0833
perimeter(561),77.598,89.9411,98.669
perimeter(562),80.0833,87.9411,92.4264
perimeter(563),76.1838,82.2843,90.1838
perimeter(564),76.7696,81.4558,90.1838
perimeter(565),75.1127,83.1127,91.0122
perimeter(566),79.9411,81.6985,90.669
perimeter(567),80.2843,83.9411,91.0122
perimeter(568),86.0833,85.9411,90.7696
perimeter(569),82.7696,87.3553,91.3553
perimeter(570),80.7696,90.1838,94.4264
perimeter(571),76.7696,85.3553,99.8406
perimeter(572),81.4975,82.5269,99.8406
perimeter(573),81.598,83.0122,100.184
perimeter(574),82.4264,82.7696,102.77
perimeter(575),77.9411,82.7696,100.184
perimeter(576),82.4264,83.1127,100.184
perimeter(577),84.1838,86.1838,100.77
perimeter(578),83.2548,89.8406,101.255
perimeter(579),83.0122,88.4264,94.7696
perimeter(580),80.1838,85.0122,95.0122
perimeter(581),78.4264,82.1838,96.669
perimeter(582),76.1838,83.598,92.7696
perimeter(583),78.7696,82.4264,93.9411
perimeter(584),77.6985,83.2548,96.1838
perimeter(585),77.3553,84.1838,99.4975
perimeter(586),82.5269,87.8406,100.426
perimeter(587),86.1838,87.598,100.527
perimeter(588),84.669,89.2548,99.9411
perimeter(589),86.1838,92.0833,101.598
perimeter(590),81.1127,85.8406,100.184
perimeter(591),79.3553,83.3553,100.426
perimeter(592),80.4264,83.8406,98.4264
perimeter(593),82.4264,82.5269,95.598
perimeter(594),80.1838,83.8406,97.4975
perimeter(595),81.2548,82.7696,95.0122
perimeter(596),84.4264,89.0122,97.0122
perimeter(597),84.7696,87.8406,97.8406
perimeter(598),82.7696,86.1838,99.8406
perimeter(599),86.1838,86.4264,101.941
perimeter(600),83.9411,83.0122,99.9411
perimeter(601),77.6985,81.598,99.9411
perimeter(602),79.3553,82.4264,101.355
perimeter(603),78.7696,84.1838,100.426
perimeter(604),78.5269,86.4264,97.0122
perimeter(605),82.1838,88.7696,95.0122
perimeter(606),78.5269,86.4264,95.598
perimeter(607),80.1838,88.4264,97.8406
perimeter(608),87.8406,84.1838,96.669
perimeter(609),87.3553,82.4264,95.0122
perimeter(610),88.669,83.2548,98.669
perimeter(611),86.5269,85.4975,99.0122
perimeter(612),85.0122,87.0122,106.083
perimeter(613),78.7696,86.0833,99.8406
perimeter(614),78.5269,91.4975,102.083
perimeter(615),82.4264,87.8406,104.669
perimeter(616),80.7696,88.0833,101.497
perimeter(617),81.3553,83.2548,103.74
perimeter(618),82.7696,81.598,98.9117
perimeter(619),85.0122,81.8406,99.7401
perimeter(620),83.1127,81.0122,95.8406
perimeter(621),83.3553,83.8406,96.3259
perimeter(622),87.8406,87.2548,94.4264
perimeter(623),84.4264,87.8406,94.4264
perimeter(624),79.3553,86.669,96.9117
perimeter(625),78.7696,86.669,96.4264
perimeter(626),78.1838,83.2548,96.1838
perimeter(627),83.2548,82.7696,100.912
perimeter(628),82.4264,81.0122,101.841
perimeter(629),81.3553,81.598,101.012
perimeter(630),83.598,83.8406,104.326
perimeter(631),85.598,87.4975,97.8406
perimeter(632),86.4264,87.8406,95.2548
perimeter(633),87.4975,85.598,95.0122
perimeter(634),86.0833,83.8406,94.4264
perimeter(635),78.7696,82.4264,95.8406
perimeter(636),77.1127,81.0122,95.8406
perimeter(637),78.5269,81.0122,95.598
perimeter(638),82.669,83.2548,97.3553
perimeter(639),79.598,84.4264,103.841
perimeter(640),80.7696,82.4264,103.012
perimeter(641),82.7696,87.8406,102.184
perimeter(642),83.598,85.0122,103.841
perimeter(643),82.2843,84.669,98.7696
perimeter(644),82.5269,83.598,96.4264
perimeter(645),80.5269,84.0833,93.3553
perimeter(646),79.598,81.0122,97.2548
perimeter(647),78.5269,84.4264,96.4264
perimeter(648),81.8406,86.669,95.3553
perimeter(649),81.3553,89.2548,95.1127
perimeter(650),79.6985,89.4975,101.841
perimeter(651),81.598,91.7401,102.184
perimeter(652),84.4264,88.0833,103.841
perimeter(653),82.5269,83.2548,101.355
perimeter(654),87.0122,82.4264,102.426
perimeter(655),90.7696,84.0833,100.77
perimeter(656),88.1838,83.0122,94.5269
perimeter(657),87.1127,81.8406,93.9411
perimeter(658),90.5269,83.8406,93.1127
perimeter(659),89.3553,86.0833,95.3553
perimeter(660),89.6985,88.9117,98.4264
perimeter(661),93.8406,87.4975,98.7696
perimeter(662),89.9411,89.2548,104.426
perimeter(663),88.1838,85.4975,106.669
perimeter(664),88.7696,82.0833,103.598
perimeter(665),85.1127,81.2548,104.77
perimeter(666),81.1127,82.669,103.355
perimeter(667),78.1838,81.8406,103.012
perimeter(668),80.1838,81.2548,100.669
perimeter(669),81.8406,84.4264,97.598
perimeter(670),79.6985,84.9117,97.0122
perimeter(671),81.598,91.1543,94.7696
perimeter(672),82.1838,88.0833,96.7696
perimeter(673),82.7696,86.4264,97.9411
perimeter(674),84.7696,82.4264,98.1838
perimeter(675),86.4264,83.0122,101.355
perimeter(676),83.598,80.7696,105.255
perimeter(677),89.0122,81.0122,106.426
perimeter(678),89.598,82.4264,106.083
perimeter(679),88.4264,83.8406,103.255
perimeter(680),88.669,83.598,97.2548
perimeter(681),90.0833,89.8406,95.598
perimeter(682),87.8406,87.0122,95.0122
perimeter(683),89.8406,88.669,95.598
perimeter(684),89.598,83.598,96.4264
perimeter(685),89.598,83.2548,100.669
perimeter(686),89.0122,79.598,101.255
perimeter(687),89.598,81.0122,99.1127
perimeter(688),90.4264,81.3553,102.184
perimeter(689),87.598,83.598,106.083
perimeter(690),88.1838,82.4264,103.012
perimeter(691),91.598,90.669,101.598
perimeter(692),88.4264,88.4264,98.4264
perimeter(693),79.3553,90.0833,97.4975
perimeter(694),79.3553,87.2548,98.3259
perimeter(695),86.0833,84.4264,97.2548
perimeter(696),81.1127,82.4264,95.598
perimeter(697),83.3553,79.0122,96.1838
perimeter(698),82.7696,85.4975,99.0122
perimeter(699),84.1838,83.598,104.426
perimeter(700),83.0122,85.8406,102.669
perimeter(701),77.3553,89.2548,104.083
perimeter(702),70.8701,85.598,106.669
perimeter(703),70.5269,85.8406,104.083
perimeter(704),69.9411,81.0122,104.083
perimeter(705),73.9411,81.8406,102.912
perimeter(706),72.2843,81.2548,97.2548
perimeter(707),72.7696,80.669,97.3553
perimeter(708),70.5269,83.4975,94.7696
perimeter(709),68.5269,85.8406,94.4264
perimeter(710),66.5269,83.8406,95.598
perimeter(711),65.9411,87.8406,96.5269
perimeter(712),65.1127,84.669,98.669
perimeter(713),71.598,86.0833,102.669
perimeter(714),68.1838,81.0122,104.669
perimeter(715),74.1838,80.4264,102.426
perimeter(716),77.9411,79.8406,102.184
perimeter(717),74.7696,82.0833,100.77
perimeter(718),72.8701,84.3259,103.012
perimeter(719),79.1127,81.2548,102.669
perimeter(720),74.5269,88.0833,99.2548
perimeter(721),76.7696,86.3259,95.598
perimeter(722),78.5269,86.669,95.0122
perimeter(723),85.2548,81.8406,96.7696
perimeter(724),80.1838,80.4264,95.598
perimeter(725),79.0122,80.4264,94.7696
perimeter(726),81.598,81.598,96.5269
perimeter(727),84.1838,82.4264,99.3553
perimeter(728),82.669,81.8406,101.598
perimeter(729),80.7696,88.9117,100.184
perimeter(730),81.3553,84.4264,101.598
perimeter(731),81.0122,86.669,102.77
perimeter(732),87.4975,81.0122,101.841
perimeter(733),83.598,81.8406,102.184
perimeter(734),85.8406,82.4264,97.0122
perimeter(735),85.0122,80.4264,95.3553
perimeter(736),83.598,83.0122,94.5269
perimeter(737),80.1838,81.8406,96.7696
perimeter(738),79.0122,85.2548,94.7696
perimeter(739),82.4264,83.2548,124.569
perimeter(740),83.598,83.2548,132.569
perimeter(741),84.669,79.8406,117.74
perimeter(742),82.1838,80.4264,115.841
perimeter(743),82.4264,80.1838,115.012
perimeter(744),85.598,81.8406,114.669
perimeter(745),88.0833,82.1838,117.74
perimeter(746),80.4264,83.0122,112.426
perimeter(747),81.2548,83.8406,110.184
perimeter(748),81.8406,89.0122,108.669
perimeter(749),82.0833,90.4264,103.841
perimeter(750),83.8406,85.598,102.669
perimeter(751),80.4264,86.4264,104.326
perimeter(752),86.669,85.3553,103.497
perimeter(753),85.8406,85.598,105.497
perimeter(754),86.0833,89.2548,103.255
perimeter(755),85.2548,87.0122,106.326
perimeter(756),83.598,87.2548,109.74
perimeter(757),81.8406,88.1838,106.912
perimeter(758),81.2548,92.0833,105.154
perimeter(759),83.0122,89.8406,106.326
perimeter(760),84.4264,89.7401,101.497
perimeter(761),85.8406,90.9117,98.3259
perimeter(762),82.669,87.8406,96.0833
perimeter(763),84.3259,85.7401,98.3259
perimeter(764),86.3259,82.669,98.9117
perimeter(765),85.4975,78.669,100.669
