,larva(1),larva(4),larva(6)
mom_x(220),1056,1161,906
mom_x(221),1056,1162,907
mom_x(222),1057,1163,907
mom_x(223),1057,1163,908
mom_x(224),1057,1163,908
mom_x(225),1057,1164,908
mom_x(226),1059,1164,909
mom_x(227),1060,1166,909
mom_x(228),1060,1166,909
mom_x(229),1061,1167,909
mom_x(230),1062,1168,910
mom_x(231),1063,1169,911
mom_x(232),1063,1169,911
mom_x(233),1063,1170,911
mom_x(234),1063,1170,911
mom_x(235),1064,1170,911
mom_x(236),1064,1170,911
mom_x(237),1066,1171,912
mom_x(238),1066,1172,913
mom_x(239),1066,1172,913
mom_x(240),1066,1173,913
mom_x(241),1066,1174,914
mom_x(242),1066,1174,914
mom_x(243),1067,1175,915
mom_x(244),1068,1177,915
mom_x(245),1069,1177,917
mom_x(246),1069,1177,916
mom_x(247),1069,1177,916
mom_x(248),1069,1177,916
mom_x(249),1069,1178,916
mom_x(250),1070,1179,917
mom_x(251),1070,1180,917
mom_x(252),1071,1181,918
mom_x(253),1072,1182,918
mom_x(254),1072,1183,918
mom_x(255),1072,1184,918
mom_x(256),1073,1184,918
mom_x(257),1073,1184,918
mom_x(258),1074,1184,918
mom_x(259),1075,1185,918
mom_x(260),1075,1186,918
mom_x(261),1075,1188,918
mom_x(262),1075,1188,918
mom_x(263),1076,1189,918
mom_x(264),1077,1190,918
mom_x(265),1077,1190,918
mom_x(266),1078,1191,918
mom_x(267),1077,1191,918
mom_x(268),1078,1191,918
mom_x(269),1079,1193,918
mom_x(270),1080,1194,917
mom_x(271),1081,1195,917
mom_x(272),1081,1196,917
mom_x(273),1081,1197,918
mom_x(274),1081,1197,918
mom_x(275),1082,1198,918
mom_x(276),1083,1198,918
mom_x(277),1083,1198,919
mom_x(278),1084,1199,919
mom_x(279),1084,1200,919
mom_x(280),1085,1201,920
mom_x(281),1085,1202,920
mom_x(282),1085,1202,920
mom_x(283),1086,1203,919
mom_x(284),1087,1204,920
mom_x(285),1087,1204,920
mom_x(286),1087,1204,920
mom_x(287),1088,1204,921
mom_x(288),1088,1205,921
mom_x(289),1088,1207,921
mom_x(290),1088,1207,921
mom_x(291),1088,1208,922
mom_x(292),1089,1209,923
mom_x(293),1090,1210,923
mom_x(294),1091,1210,923
mom_x(295),1091,1210,922
mom_x(296),1090,1211,923
mom_x(297),1090,1211,923
mom_x(298),1091,1212,923
mom_x(299),1092,1213,924
mom_x(300),1092,1215,924
mom_x(301),1093,1215,925
mom_x(302),1093,1216,925
mom_x(303),1093,1217,926
mom_x(304),1094,1217,926
mom_x(305),1094,1217,926
mom_x(306),1095,1217,927
mom_x(307),1096,1218,927
mom_x(308),1096,1219,928
mom_x(309),1097,1221,927
mom_x(310),1097,1222,927
mom_x(311),1098,1223,927
mom_x(312),1097,1223,927
mom_x(313),1098,1223,928
mom_x(314),1098,1223,928
mom_x(315),1098,1224,929
mom_x(316),1098,1224,929
mom_x(317),1099,1225,930
mom_x(318),1099,1226,930
